,des,price_Brunei,price_Cambodia,price_Indonesia,price_Laos,price_Malaysia,price_Myanmar,price_Philippines,price_Singapore,price_Vietnam,price_Thailand,category
0,"Meal, Inexpensive Restaurant",119.56 ฿,93.36 ฿,55.96 ฿,103.51 ฿,76.82 ฿,64.31 ฿,93.77 ฿,358.39 ฿,70.43 ฿,70.00 ฿,Restaurants
1,"Meal for 2 People, Mid-range Restaurant, Three-course",955.72 ฿,643.13 ฿,447.65 ฿,774.10 ฿,460.92 ฿,643.13 ฿,625.13 ฿,"1,911.44 ฿",643.13 ฿,700.00 ฿,Restaurants
2,McMeal at McDonalds (or Equivalent Combo Meal),173.22 ฿,192.94 ฿,111.91 ฿,160.78 ฿,115.23 ฿,160.78 ฿,93.77 ฿,191.14 ฿,154.94 ฿,200.00 ฿,Restaurants
3,Domestic Non-Alcoholic Beer (0.5 liter draught),262.58 ฿,32.16 ฿,78.34 ฿,38.59 ฿,115.23 ฿,40.12 ฿,39.07 ฿,238.93 ฿,28.17 ฿,70.00 ฿,Restaurants
4,Imported Non-Alcoholic Beer (0.33 liter bottle),161.16 ฿,64.31 ฿,111.91 ฿,96.47 ฿,122.91 ฿,48.24 ฿,62.51 ฿,286.72 ฿,56.34 ฿,120.00 ฿,Restaurants
5,Cappuccino (regular),108.92 ฿,69.52 ฿,62.35 ฿,80.25 ฿,80.51 ฿,67.43 ฿,73.34 ฿,132.56 ฿,55.59 ฿,60.27 ฿,Restaurants
6,Coke/Pepsi (0.33 liter bottle),24.52 ฿,24.60 ฿,19.63 ฿,35.94 ฿,18.83 ฿,18.49 ฿,20.30 ฿,43.13 ฿,17.10 ฿,20.90 ฿,Restaurants
7,Water (0.33 liter bottle),18.76 ฿,12.93 ฿,9.63 ฿,21.60 ฿,10.75 ฿,10.43 ฿,12.41 ฿,33.07 ฿,10.06 ฿,10.75 ฿,Restaurants
9,"Milk (regular), (1 liter)",48.20 ฿,68.63 ฿,41.75 ฿,83.81 ฿,51.03 ฿,47.94 ฿,54.97 ฿,84.88 ฿,48.12 ฿,55.51 ฿,Markets
10,Loaf of Fresh White Bread (500g),45.70 ฿,47.98 ฿,37.19 ฿,62.62 ฿,25.91 ฿,32.16 ฿,38.05 ฿,58.14 ฿,28.04 ฿,42.27 ฿,Markets
11,"Rice (white), (1kg)",40.83 ฿,36.41 ฿,28.58 ฿,51.35 ฿,32.23 ฿,42.48 ฿,31.45 ฿,74.90 ฿,28.61 ฿,39.13 ฿,Markets
12,Eggs (regular) (12),62.60 ฿,55.38 ฿,49.68 ฿,60.51 ฿,45.24 ฿,48.59 ฿,56.03 ฿,79.16 ฿,46.99 ฿,55.19 ฿,Markets
13,Local Cheese (1kg),210.28 ฿,556.56 ฿,253.87 ฿,986.00 ฿,359.34 ฿,329.82 ฿,206.79 ฿,615.88 ฿,409.66 ฿,522.19 ฿,Markets
14,Chicken Fillets (1kg),163.76 ฿,160.68 ฿,104.95 ฿,140.28 ฿,116.28 ฿,151.24 ฿,128.19 ฿,248.73 ฿,111.52 ฿,73.07 ฿,Markets
15,Beef Round (1kg) (or Equivalent Back Leg Red Meat),369.84 ฿,348.66 ฿,265.42 ฿,460.91 ฿,228.07 ฿,234.18 ฿,204.76 ฿,582.30 ฿,353.86 ฿,326.02 ฿,Markets
16,Apples (1kg),110.51 ฿,128.63 ฿,80.40 ฿,154.98 ฿,68.66 ฿,66.99 ฿,84.55 ฿,112.76 ฿,88.57 ฿,87.95 ฿,Markets
17,Banana (1kg),55.69 ฿,44.62 ฿,43.21 ฿,60.98 ฿,38.64 ฿,26.25 ฿,48.55 ฿,70.39 ฿,34.02 ฿,42.31 ฿,Markets
18,Oranges (1kg),94.32 ฿,104.41 ฿,56.96 ฿,90.77 ฿,69.31 ฿,67.16 ฿,80.39 ฿,109.42 ฿,51.21 ฿,61.24 ฿,Markets
19,Tomato (1kg),90.84 ฿,45.48 ฿,33.04 ฿,85.26 ฿,37.40 ฿,40.78 ฿,45.39 ฿,75.86 ฿,30.95 ฿,43.13 ฿,Markets
