des,price_Brunei,des,price_Cambodia,des,price_Indonesia,des,price_Laos,des,price_Malaysia,des,price_Myanmar,des,price_Philippines,des,price_Singapore,des,price_Vietnam,des,price_Thailand
"Meal, Inexpensive Restaurant",120.29 ฿,"Meal, Inexpensive Restaurant",94.05 ฿,"Meal, Inexpensive Restaurant",56.42 ฿,"Meal, Inexpensive Restaurant",104.27 ฿,"Meal, Inexpensive Restaurant",77.39 ฿,"Meal, Inexpensive Restaurant",64.79 ฿,"Meal, Inexpensive Restaurant",94.53 ฿,"Meal, Inexpensive Restaurant",348.55 ฿,"Meal, Inexpensive Restaurant",71.04 ฿,"Meal, Inexpensive Restaurant",70.00 ฿
"Meal for 2 People, Mid-range Restaurant, Three-course",961.53 ฿,"Meal for 2 People, Mid-range Restaurant, Three-course",647.88 ฿,"Meal for 2 People, Mid-range Restaurant, Three-course",451.37 ฿,"Meal for 2 People, Mid-range Restaurant, Three-course",779.82 ฿,"Meal for 2 People, Mid-range Restaurant, Three-course",464.32 ฿,"Meal for 2 People, Mid-range Restaurant, Three-course",647.88 ฿,"Meal for 2 People, Mid-range Restaurant, Three-course",630.17 ฿,"Meal for 2 People, Mid-range Restaurant, Three-course","1,923.06 ฿","Meal for 2 People, Mid-range Restaurant, Three-course",648.61 ฿,"Meal for 2 People, Mid-range Restaurant, Three-course",700.00 ฿
McMeal at McDonalds (or Equivalent Combo Meal),174.28 ฿,McMeal at McDonalds (or Equivalent Combo Meal),194.36 ฿,McMeal at McDonalds (or Equivalent Combo Meal),112.84 ฿,McMeal at McDonalds (or Equivalent Combo Meal),161.97 ฿,McMeal at McDonalds (or Equivalent Combo Meal),116.08 ฿,McMeal at McDonalds (or Equivalent Combo Meal),161.97 ฿,McMeal at McDonalds (or Equivalent Combo Meal),94.53 ฿,McMeal at McDonalds (or Equivalent Combo Meal),192.31 ฿,McMeal at McDonalds (or Equivalent Combo Meal),156.29 ฿,McMeal at McDonalds (or Equivalent Combo Meal),200.00 ฿
Domestic Non-Alcoholic Beer (0.5 liter draught),264.18 ฿,Domestic Beer (0.5 liter draught),32.39 ฿,Domestic Beer (0.5 liter draught),78.99 ฿,Domestic Beer (0.5 liter draught),38.87 ฿,Domestic Beer (0.5 liter draught),116.08 ฿,Domestic Beer (0.5 liter draught),40.42 ฿,Domestic Beer (0.5 liter draught),39.39 ฿,Domestic Beer (0.5 liter draught),240.38 ฿,Domestic Beer (0.5 liter draught),28.42 ฿,Domestic Beer (0.5 liter draught),70.00 ฿
Imported Non-Alcoholic Beer (0.33 liter bottle),162.14 ฿,Imported Beer (0.33 liter bottle),64.79 ฿,Imported Beer (0.33 liter bottle),112.84 ฿,Imported Beer (0.33 liter bottle),97.18 ฿,Imported Beer (0.33 liter bottle),123.82 ฿,Imported Beer (0.33 liter bottle),48.59 ฿,Imported Beer (0.33 liter bottle),63.02 ฿,Imported Beer (0.33 liter bottle),288.46 ฿,Imported Beer (0.33 liter bottle),56.83 ฿,Imported Beer (0.33 liter bottle),120.00 ฿
Cappuccino (regular),109.59 ฿,Cappuccino (regular),70.04 ฿,Cappuccino (regular),62.87 ฿,Cappuccino (regular),80.84 ฿,Cappuccino (regular),81.13 ฿,Cappuccino (regular),67.93 ฿,Cappuccino (regular),73.93 ฿,Cappuccino (regular),133.37 ฿,Cappuccino (regular),56.07 ฿,Cappuccino (regular),60.54 ฿
Coke/Pepsi (0.33 liter bottle),24.67 ฿,Coke/Pepsi (0.33 liter bottle),24.78 ฿,Coke/Pepsi (0.33 liter bottle),19.80 ฿,Coke/Pepsi (0.33 liter bottle),36.20 ฿,Coke/Pepsi (0.33 liter bottle),18.96 ฿,Coke/Pepsi (0.33 liter bottle),18.62 ฿,Coke/Pepsi (0.33 liter bottle),20.46 ฿,Coke/Pepsi (0.33 liter bottle),43.47 ฿,Coke/Pepsi (0.33 liter bottle),17.25 ฿,Coke/Pepsi (0.33 liter bottle),20.82 ฿
Water (0.33 liter bottle),18.88 ฿,Water (0.33 liter bottle),13.03 ฿,Water (0.33 liter bottle),9.71 ฿,Water (0.33 liter bottle),21.76 ฿,Water (0.33 liter bottle),10.85 ฿,Water (0.33 liter bottle),10.50 ฿,Water (0.33 liter bottle),12.51 ฿,Water (0.33 liter bottle),33.12 ฿,Water (0.33 liter bottle),10.14 ฿,Water (0.33 liter bottle),10.71 ฿
Markets,Edit,Markets,Edit,Markets,Edit,Markets,Edit,Markets,Edit,Markets,Edit,Markets,Edit,Markets,Edit,Markets,Edit,Markets,Edit
"Milk (regular), (1 liter)",48.49 ฿,"Milk (regular), (1 liter)",69.13 ฿,"Milk (regular), (1 liter)",42.09 ฿,"Milk (regular), (1 liter)",84.43 ฿,"Milk (regular), (1 liter)",51.45 ฿,"Milk (regular), (1 liter)",48.30 ฿,"Milk (regular), (1 liter)",55.42 ฿,"Milk (regular), (1 liter)",85.40 ฿,"Milk (regular), (1 liter)",48.54 ฿,"Milk (regular), (1 liter)",55.49 ฿
